Date,Price,Open,High,Low
"Apr 25, 2021",49561.9,50088.2,50438.8,49226.5
"Apr 24, 2021",50088.9,51140.8,51183,48775.2
"Apr 23, 2021",51143.6,51707.1,52099.9,47659.4
"Apr 22, 2021",51729.5,53821.3,55408.4,50590.9
"Apr 21, 2021",53820.2,56479.5,56764.4,53657.6
"Apr 20, 2021",56483.2,55645.1,57054.9,53422.5
"Apr 19, 2021",55646.1,56208.1,57517,54272.3
"Apr 18, 2021",56207.1,60043.2,60362.1,51817.6
"Apr 17, 2021",60041.9,61358.3,62509.1,59672.1
"Apr 16, 2021",61379.7,63211.6,63518.5,60027.3
"Apr 15, 2021",63216,62978.6,63729.1,62067.5
"Apr 14, 2021",62980.4,63544.2,64778,61366.3
"Apr 13, 2021",63540.9,59863.6,63659,59839.4
"Apr 12, 2021",59863.8,59982.1,61259.9,59569.2
"Apr 11, 2021",59978.7,59772.4,60667.1,59250.3
"Apr 10, 2021",59748.4,58127.4,61229,57900
"Apr 09, 2021",58118.7,58076.8,58890.9,57686
"Apr 08, 2021",58077.4,55948,58136.7,55721.6
"Apr 07, 2021",55948.7,57996.3,58627.7,55489.3
"Apr 06, 2021",57996.3,59169,59487,57403.3
"Apr 05, 2021",58993.4,58202.3,59205.1,56842.7
"Apr 04, 2021",58199.9,57059.7,58464.8,56470.6
"Apr 03, 2021",57059.9,58976.8,59770.5,56906.7
"Apr 02, 2021",58977.3,58718.2,60134.9,58466.5
"Apr 01, 2021",58718.3,58763.2,59406.5,58040.7
"Mar 31, 2021",58763.7,58771.4,59795.6,56991.6
"Mar 30, 2021",58771.3,57614.6,59366.9,57077.1
"Mar 29, 2021",57616.2,55764.7,58392.6,54951.1
"Mar 28, 2021",55765.2,55856.9,56504.2,54711.3
"Mar 27, 2021",55862.9,55033.8,56531.1,54010.2
"Mar 26, 2021",55036.1,51317.4,55074.1,51302
"Mar 25, 2021",51322.3,52330,53175.4,50441.3
"Mar 24, 2021",52325.4,54309.1,57169.4,51725.4
"Mar 23, 2021",54452.5,54117.5,55813.8,52992.3
"Mar 22, 2021",54158.3,57379.3,58379.9,53784.2
"Mar 21, 2021",57383.8,58097.4,58583.8,55583.3
"Mar 20, 2021",58093.4,58084.1,59882.1,57863
"Mar 19, 2021",58088,57645,59448.3,56305.1
"Mar 18, 2021",57656,58911.8,60088,57099.6
"Mar 17, 2021",58913.5,56892.9,58933.2,54253.2
"Mar 16, 2021",56889.7,55619.5,56889.7,53342.6
"Mar 15, 2021",55791.3,59117.4,60565.9,55088.8
"Mar 14, 2021",59113.7,61192.7,61673.7,59113.7
"Mar 13, 2021",61195.3,57267.4,61795.8,56118.8
"Mar 12, 2021",57265.1,57806.2,58052.3,55134.5
"Mar 11, 2021",57799.5,55851.2,58135,54351.8
"Mar 10, 2021",55851.9,54882.7,57328.7,53073.6
"Mar 09, 2021",54879,52352.4,54880.6,51941.3
"Mar 08, 2021",52311,50988.9,52384.9,49338.1
"Mar 07, 2021",50982.3,48899,51434.1,48890.6
"Mar 06, 2021",48855.6,48798.7,49191.8,47132.8
"Mar 05, 2021",48792.5,48363.6,49429.4,46370.1
"Mar 04, 2021",48428,50388,51757.7,47521.8
"Mar 03, 2021",50395.1,48422.2,52567.9,48159.2
"Mar 02, 2021",48424.2,49595.6,50191.9,47100.6
"Mar 01, 2021",49595.5,45160.5,49774,45008.8
"Feb 28, 2021",45164,46136,46582,43100.6
"Feb 27, 2021",46136.7,46333.1,48335.1,45059.4
"Feb 26, 2021",46345.6,46928.5,48413.9,44248.2
"Feb 25, 2021",46928.5,49695.9,52013.8,46773.7
"Feb 24, 2021",49697.5,48911.1,51311.8,47031.7
"Feb 23, 2021",48911.2,54114.1,54115,45093.8
"Feb 22, 2021",54111.8,57437.6,57480.8,48353.8
"Feb 21, 2021",57433.8,55907.6,58335.1,55502.7
"Feb 20, 2021",55923.7,55922,57523.8,54124.1
"Feb 19, 2021",55906.6,51590.1,56238.5,50816.8
"Feb 18, 2021",51582.2,52094.5,52524,50941.6
"Feb 17, 2021",52079.2,49161.3,52577.7,49018.1
"Feb 16, 2021",49169.7,47934.2,50515.8,47044.4
"Feb 15, 2021",47936.3,48611.1,48936.5,45786.1
"Feb 14, 2021",48643.4,47172.1,49695.1,47051.9
"Feb 13, 2021",47168.7,47373.1,48097.3,46270.5
"Feb 12, 2021",47371.7,47995,48927.4,46218.6
"Feb 11, 2021",47990.7,44834.8,48622.1,44041.1
"Feb 10, 2021",44836,46507.8,47295.3,43800.5
"Feb 09, 2021",46508.6,46396.4,48143.5,45104.7
"Feb 08, 2021",46395.7,38853.6,46596.4,38057
"Feb 07, 2021",38852.9,39228.9,39691.7,37381.6
"Feb 06, 2021",39256.6,38300.6,40939.7,38275.3
"Feb 05, 2021",38297.6,36976.4,38303.6,36640
"Feb 04, 2021",36982.1,37648.9,38707.9,36380.8
"Feb 03, 2021",37646.8,35486.9,37646.8,35401.5
"Feb 02, 2021",35485.2,33514,35976.1,33462.4
"Feb 01, 2021",33515.7,33106.8,34685.6,32324.9
"Jan 31, 2021",33108.1,34281.6,34348.3,32189.9
"Jan 30, 2021",34283.1,34300,34920.9,32908.5
"Jan 29, 2021",34301.8,33381.7,38546,31953.3
"Jan 28, 2021",33374.8,30408.9,33790.8,29911.9
"Jan 27, 2021",30404,32499.6,32545.4,29290.4
"Jan 26, 2021",32502.1,32244.1,32917.7,30850
"Jan 25, 2021",32252.3,32244.3,34854.3,31967.4
"Jan 24, 2021",32241.3,32088.5,33034.8,30982.9
"Jan 23, 2021",32088.9,32994.1,33441.4,31418.2
"Jan 22, 2021",33000.5,30838.7,33821.2,28871.2
"Jan 21, 2021",30842.1,35472.3,35591.1,30101.8
"Jan 20, 2021",35476.3,35862.1,36384.4,33444.5
"Jan 19, 2021",36002.9,36630.6,37821,36001.4
"Jan 18, 2021",36613.2,35838.2,37436.8,34801
"Jan 17, 2021",35839.6,36020.1,36801.3,33883.5
"Jan 16, 2021",36019.5,36751.8,37931.7,35408.4
"Jan 15, 2021",36845.8,39175.7,39715,34488.7
"Jan 14, 2021",39175.7,37383.4,40054.3,36772.1
"Jan 13, 2021",37382.2,34061.2,37764.6,32451.9
"Jan 12, 2021",34076.1,35426,36598.7,32572.7
"Jan 11, 2021",35544.3,38195.3,38217.2,30411.6
"Jan 10, 2021",38192.2,40149.7,41362.4,35141.6
"Jan 09, 2021",40151.9,40607.2,41363.5,38775.1
"Jan 08, 2021",40599.3,39466.4,41921.7,36613.4
"Jan 07, 2021",39460.2,36798.5,40340.9,36361.2
"Jan 06, 2021",36793.2,33999.3,36934.8,33408.3
"Jan 05, 2021",33991.5,32015.4,34414.7,30010.5
"Jan 04, 2021",32022.6,33016.6,33587.5,28204.5
"Jan 03, 2021",32958.9,32192.9,34755.9,32029.6
"Jan 02, 2021",32193.3,29359.7,33233.5,29008
"Jan 01, 2021",29359.9,28951.7,29627.1,28712.4
"Dec 31, 2020",28949.4,28866.8,29298.8,28025
"Dec 30, 2020",28868.7,27374.5,28979.3,27374.5
"Dec 29, 2020",27376,27065.3,27390.7,25902.8
"Dec 28, 2020",27057.8,26259.2,27444.9,26144.3
"Dec 27, 2020",26261.3,26460.3,28360.3,25858.2
"Dec 26, 2020",26454.4,24714.7,26826,24515.1
"Dec 25, 2020",24689.6,23728.7,24778.9,23445.3
"Dec 24, 2020",23736.5,23253.2,23783.7,22737.3
"Dec 23, 2020",23257.9,23820.8,24063.7,22694.7
"Dec 22, 2020",23823.2,22730.4,23825.4,22388.6
"Dec 21, 2020",22728.5,23474.1,24101.9,22015.5
"Dec 20, 2020",23474.9,23843.6,24280.9,23098.9
"Dec 19, 2020",23844,23127.6,24107.1,22797
"Dec 18, 2020",23127.9,22823.3,23272.8,22361.5
"Dec 17, 2020",22825.4,21352.3,23738,21243.1
"Dec 16, 2020",21352.2,19434.7,21525.3,19299.7
"Dec 15, 2020",19434.9,19273.9,19556.3,19076.2
"Dec 14, 2020",19273.8,19176.4,19346.5,19007
"Dec 13, 2020",19176.8,18808.1,19403.6,18716.8
"Dec 12, 2020",18808.9,18026.7,18936.2,18025.1
"Dec 11, 2020",18023.6,18250.5,18288.3,17600.1
"Dec 10, 2020",18247.2,18546.1,18551.8,17926.8
"Dec 09, 2020",18546,18322.4,18637.9,17658.8
"Dec 08, 2020",18326.6,19170.8,19288.6,18229.2
"Dec 07, 2020",19170.7,19368.4,19424.6,18908.8
"Dec 06, 2020",19379.9,19146,19417.1,18873
"Dec 05, 2020",19146.5,18657.5,19172.7,18507.1
"Dec 04, 2020",18658.1,19431.1,19529.5,18610.8
"Dec 03, 2020",19433.3,19219.8,19596.6,18883.7
"Dec 02, 2020",19218.8,18767.9,19335.5,18346.7
"Dec 01, 2020",18770.7,19697.8,19897.4,18257
"Nov 30, 2020",19698.1,18186,19831.2,18186
"Nov 29, 2020",18185.5,17729.7,18336.3,17530.4
"Nov 28, 2020",17730.7,17142.6,17874.4,16874.4
"Nov 27, 2020",17127.1,17160.9,17450.3,16481.6
"Nov 26, 2020",17162,18721.9,18894.9,16235.2
"Nov 25, 2020",18723,19151.5,19486.7,18527.7
"Nov 24, 2020",19152.6,18394.6,19416.6,18074.8
"Nov 23, 2020",18379.6,18428.1,18756.8,18016
"Nov 22, 2020",18412.9,18689.3,18751.5,17644.6
"Nov 21, 2020",18687.2,18673.8,18966,18397.5
"Nov 20, 2020",18675.2,17805.5,18811,17758.4
"Nov 19, 2020",17803.5,17775.1,18166,17380.1
"Nov 18, 2020",17774.6,17662.3,18466.1,17258.9
"Nov 17, 2020",17662.3,16715.8,17845.4,16562
"Nov 16, 2020",16715.8,15954.1,16880.7,15870.7
"Nov 15, 2020",15953,16074.7,16158.1,15782.3
"Nov 14, 2020",16071,16323.1,16328.2,15717.7
"Nov 13, 2020",16324.2,16293,16474.1,15973.4
"Nov 12, 2020",16294.7,15695.8,16342.7,15483.5
"Nov 11, 2020",15695.8,15303.1,15953.9,15281
"Nov 10, 2020",15303.6,15328,15465.3,15096.5
"Nov 09, 2020",15327.2,15483.3,15819.6,14816.9
"Nov 08, 2020",15483.7,14826.6,15648.3,14720.7
"Nov 07, 2020",14828.4,15578.2,15754.4,14385.1
"Nov 06, 2020",15577.9,15593.9,15955.2,15223.5
"Nov 05, 2020",15587.1,14145.6,15739.9,14099.7
"Nov 04, 2020",14145.6,14023,14238.8,13544.4
"Nov 03, 2020",14019.9,13560.5,14054,13294.6
"Nov 02, 2020",13561.4,13759.7,13828.4,13214.2
"Nov 01, 2020",13759.4,13795.5,13889.5,13628.7
"Oct 31, 2020",13797.3,13560.2,14065.4,13441.7
"Oct 30, 2020",13559.9,13457,13667.9,13134.5
"Oct 29, 2020",13457.2,13278.3,13640,12982.9
"Oct 28, 2020",13278.9,13658.3,13851.7,12907.6
"Oct 27, 2020",13657.8,13061.5,13782.3,13050.3
"Oct 26, 2020",13061.6,13033,13229.7,12792.4
"Oct 25, 2020",13032.2,13117,13345.3,12900.4
"Oct 24, 2020",13117.2,12933.6,13161.5,12876.4
"Oct 23, 2020",12934.1,12972.7,13025.5,12738.9
"Oct 22, 2020",12974.6,12805.5,13183.9,12698.2
"Oct 21, 2020",12808.7,11913.6,13213.5,11894.6
"Oct 20, 2020",11913.5,11753.9,12029.4,11685.7
"Oct 19, 2020",11753.4,11507.1,11823.3,11413.9
"Oct 18, 2020",11506.9,11362.1,11506.9,11349.8
"Oct 17, 2020",11362.1,11321.8,11402.7,11274.4
"Oct 16, 2020",11322,11503.2,11542.2,11224.6
"Oct 15, 2020",11503,11421.4,11590.9,11276.7
"Oct 14, 2020",11420.4,11424.4,11541,11293.5
"Oct 13, 2020",11423.8,11533.5,11558,11315.9
"Oct 12, 2020",11533.9,11370.8,11715.9,11227.4
"Oct 11, 2020",11371,11295.6,11439.4,11277.6
"Oct 10, 2020",11298.4,11053.5,11475,11053.1
"Oct 09, 2020",11054.2,10923.5,11103,10836.9
"Oct 08, 2020",10924.1,10670.7,10948.6,10549.6
"Oct 07, 2020",10670.9,10601,10680.1,10553.3
"Oct 06, 2020",10602.6,10790.2,10800.3,10530.8
"Oct 05, 2020",10789.5,10672.5,10789.6,10623.4
"Oct 04, 2020",10672.9,10544.4,10693.3,10520.8
"Oct 03, 2020",10544.2,10572.2,10597.8,10501.2
"Oct 02, 2020",10572.3,10619.6,10662.9,10387.6
"Oct 01, 2020",10620.5,10776.6,10913.7,10462.7
"Sep 30, 2020",10776.1,10843.4,10847.7,10667.6
"Sep 29, 2020",10840.9,10694.3,10858.4,10642.4
"Sep 28, 2020",10693.2,10776.4,10946.6,10685.2
"Sep 27, 2020",10776.2,10727.9,10799.2,10602.7
"Sep 26, 2020",10727.9,10688.9,10793.3,10650.2
"Sep 25, 2020",10688.8,10739.9,10756,10558.9
"Sep 24, 2020",10739.4,10238.1,10787.8,10201
"Sep 23, 2020",10237.3,10531.5,10535.4,10146.6
"Sep 22, 2020",10531.5,10419.4,10570.7,10361.7
"Sep 21, 2020",10416.8,10919.9,10987.2,10328.5
"Sep 20, 2020",10921.5,11081.6,11081.6,10772.7
"Sep 19, 2020",11081.8,10933,11177.1,10890.7
"Sep 18, 2020",10933,10941.3,11029.7,10818.7
"Sep 17, 2020",10941.3,10950.1,11039.3,10755.2
"Sep 16, 2020",10949.5,10785.2,11093.3,10669.2
"Sep 15, 2020",10785.3,10675.2,10931.8,10627.8
"Sep 14, 2020",10675.3,10332.7,10744.3,10264.5
"Sep 13, 2020",10326,10441.7,10579.6,10219.4
"Sep 12, 2020",10441.9,10390.2,10476.8,10275.9
"Sep 11, 2020",10390.2,10339.8,10398.8,10212.6
"Sep 10, 2020",10339.7,10224.3,10480.3,10219.2
"Sep 09, 2020",10224.6,10126.8,10343.3,9984.6
"Sep 08, 2020",10126.6,10376.9,10434.4,9877.1
"Sep 07, 2020",10376.9,10296.4,10400.9,9887
"Sep 06, 2020",10296.4,10092.2,10337.7,10004.7
"Sep 05, 2020",10092.2,10472.3,10558.7,9897.8
"Sep 04, 2020",10472.5,10168.7,10614.2,9960.3
"Sep 03, 2020",10168.8,11413.2,11442.7,10009.5
"Sep 02, 2020",11413.3,11914.4,11947.5,11244.9
"Sep 01, 2020",11908.5,11644.2,12045.9,11544.6
"Aug 31, 2020",11644.2,11701.1,11760.2,11563.8
"Aug 30, 2020",11702,11468.1,11704.2,11462.6
"Aug 29, 2020",11468.1,11527.8,11576.8,11433.5
"Aug 28, 2020",11527.4,11327.5,11539,11281.9
"Aug 27, 2020",11327.4,11462.3,11580.3,11135.3
"Aug 26, 2020",11462.3,11324.9,11533.6,11254.6
"Aug 25, 2020",11324.8,11752.9,11766.9,11131
"Aug 24, 2020",11753.5,11641.6,11824.6,11587.1
"Aug 23, 2020",11641.6,11661.1,11705.4,11520.8
"Aug 22, 2020",11661.3,11529.2,11677,11382.1
"Aug 21, 2020",11529.2,11856.9,11877.4,11495.6
"Aug 20, 2020",11856.9,11751,11881,11672.7
"Aug 19, 2020",11750.2,11944.4,12013.2,11602.6
"Aug 18, 2020",11947.6,12283,12381.4,11842
"Aug 17, 2020",12282.6,11898.8,12444.1,11764
"Aug 16, 2020",11899,11845.5,11922.5,11688.9
"Aug 15, 2020",11845.3,11751.1,11964,11711.5
"Aug 14, 2020",11750.8,11771.1,11835.5,11651.5
"Aug 13, 2020",11770.9,11557.2,11772.9,11298.4
"Aug 12, 2020",11557.2,11390.4,11605.4,11190.6
"Aug 11, 2020",11390.4,11889.2,11931.8,11146.7
"Aug 10, 2020",11889.2,11681.1,12041.1,11546.9
"Aug 09, 2020",11681.2,11764.4,11792.8,11527.5
"Aug 08, 2020",11764.3,11591.6,11805.5,11533.5
"Aug 07, 2020",11592,11757.1,11901.8,11352.4
"Aug 06, 2020",11757.1,11735,11898.4,11563
"Aug 05, 2020",11735.1,11184.8,11771.5,11114.5
"Aug 04, 2020",11184.7,11223.8,11407.8,11043
"Aug 03, 2020",11224.4,11066.9,11461.1,10981.6
"Aug 02, 2020",11066.8,11802.6,12061.1,10730.7
"Aug 01, 2020",11803.1,11333.2,11847.7,11226.1
"Jul 31, 2020",11333.4,11096.5,11434.8,10964.6
"Jul 30, 2020",11096.2,11105.8,11164.4,10861.6
"Jul 29, 2020",11105.9,10908.4,11336.5,10771.8
"Jul 28, 2020",10908.5,10961.1,11046.1,10873.6
"Jul 27, 2020",11022.8,9932.7,11367,9894.6
"Jul 26, 2020",9932.5,9690,10086.6,9645.9
"Jul 25, 2020",9704.1,9546.7,9729.3,9536.2
"Jul 24, 2020",9546.4,9599.2,9626.2,9480.5
"Jul 23, 2020",9599.6,9513.6,9646.5,9451.1
"Jul 22, 2020",9513.7,9387.4,9523.1,9296
"Jul 21, 2020",9387.3,9162.3,9426.9,9155.1
"Jul 20, 2020",9162.4,9208.1,9218.4,9139.9
"Jul 19, 2020",9208,9170.1,9224.8,9106.4
"Jul 18, 2020",9170.2,9155.8,9198.8,9126.7
"Jul 17, 2020",9155.8,9135.4,9181.9,9091.5
"Jul 16, 2020",9135.3,9198.7,9224.2,9052
"Jul 15, 2020",9198.7,9253.6,9270.2,9168.7
"Jul 14, 2020",9253.4,9243.1,9274.8,9135.7
"Jul 13, 2020",9243.6,9300.5,9329.6,9207.6
"Jul 12, 2020",9300.8,9234.2,9337.8,9170.4
"Jul 11, 2020",9233.3,9285.8,9295.5,9184.2
"Jul 10, 2020",9285.1,9239,9309.8,9131.9
"Jul 09, 2020",9235.7,9430.1,9434.5,9176
"Jul 08, 2020",9429.9,9256.3,9458.3,9233.1
"Jul 07, 2020",9256,9338.8,9371.2,9209.3
"Jul 06, 2020",9339,9080.4,9363,9063.2
"Jul 05, 2020",9081,9134.3,9149.6,8932.1
"Jul 04, 2020",9134.4,9067.1,9182.3,9049.6
"Jul 03, 2020",9067.1,9085,9120.4,9050.9
"Jul 02, 2020",9085.1,9229.9,9259.7,8962.1
"Jul 01, 2020",9229.9,9135.9,9289,9101.1
"Jun 30, 2020",9135.4,9186,9199.8,9075.3
"Jun 29, 2020",9185.4,9122.8,9229.1,9033.6
"Jun 28, 2020",9124,9008.4,9185.5,8950.2
"Jun 27, 2020",9008.3,9160.5,9190.5,8865.3
"Jun 26, 2020",9160,9247.5,9296.5,9060.1
"Jun 25, 2020",9247.5,9300.8,9327.3,9022.6
"Jun 24, 2020",9302,9624.6,9667.4,9223
"Jun 23, 2020",9624.6,9683.9,9715.6,9581.8
"Jun 22, 2020",9683.7,9296.5,9751.9,9285.8
"Jun 21, 2020",9296.4,9358.8,9411.2,9288.5
"Jun 20, 2020",9358.8,9314,9394.5,9199.8
"Jun 19, 2020",9314,9390.3,9424,9249.6
"Jun 18, 2020",9388.1,9464.6,9480.4,9289.3
"Jun 17, 2020",9464.6,9523.6,9543.6,9258.2
"Jun 16, 2020",9523.5,9425.6,9577.1,9379.3
"Jun 15, 2020",9425.4,9345.5,9489.7,8925.6
"Jun 14, 2020",9345.3,9470.7,9474.7,9264.4
"Jun 13, 2020",9471.3,9466.5,9484.9,9369.9
"Jun 12, 2020",9466.6,9283.7,9547.5,9249.4
"Jun 11, 2020",9283.2,9878.9,9945.2,9139.1
"Jun 10, 2020",9878.8,9768.8,9970.9,9710.7
"Jun 09, 2020",9768.8,9777.7,9857.2,9616.6
"Jun 08, 2020",9777.9,9743.4,9788.2,9662.3
"Jun 07, 2020",9742.6,9669.6,9791.8,9417.4
"Jun 06, 2020",9669.6,9630.8,9733.1,9549.5
"Jun 05, 2020",9631.2,9794,9846.1,9628.7
"Jun 04, 2020",9794.4,9667.2,9864.4,9490.9
"Jun 03, 2020",9667.2,9527,9667.2,9421.7
"Jun 02, 2020",9527.6,10190.7,10207.3,9347.3
"Jun 01, 2020",10189.3,9454.5,10301.8,9429.7
"May 31, 2020",9454.8,9692.9,9695.6,9406.2
"May 30, 2020",9692.5,9424.8,9729.9,9352.7
"May 29, 2020",9424.8,9573.4,9596.5,9358.1
"May 28, 2020",9572.2,9199.8,9610.8,9119.2
"May 27, 2020",9199.1,8842.3,9210.9,8818.6
"May 26, 2020",8842.5,8897.7,8994.6,8713.9
"May 25, 2020",8898.2,8728,8959.5,8666.1
"May 24, 2020",8728.2,9177.9,9292,8724.1
"May 23, 2020",9177,9169.8,9303.2,9098.9
"May 22, 2020",9169.7,9058.2,9253.5,8952.1
"May 21, 2020",9059,9511.6,9567.1,8833.6
"May 20, 2020",9512.3,9773,9829.3,9368.4
"May 19, 2020",9773.3,9730.8,9883.9,9498.7
"May 18, 2020",9730.7,9678.4,9930.2,9524.4
"May 17, 2020",9677.7,9376.6,9866,9327.8
"May 16, 2020",9379.5,9318.1,9579,9233
"May 15, 2020",9318,9778.6,9819.6,9223.2
"May 14, 2020",9778.4,9298.7,9887.5,9265.8
"May 13, 2020",9298.7,8813.9,9384.6,8799.1
"May 12, 2020",8813.8,8569.8,8964.5,8542.8
"May 11, 2020",8579.8,8737.6,9129.6,8235.6
"May 10, 2020",8738.8,9553.9,9569.4,8259.3
"May 09, 2020",9554.6,9806,9910.5,9533.6
"May 08, 2020",9806.2,9980.1,10018.2,9731.4
"May 07, 2020",9979.8,9152.7,10033,9064.8
"May 06, 2020",9151.4,9000.6,9373.7,8923.6
"May 05, 2020",9001,8874.2,9078.7,8800.4
"May 04, 2020",8874.7,8885.5,8945.5,8553.2
"May 03, 2020",8885.5,8966.2,9169.9,8742.2
"May 02, 2020",8966.3,8821.6,8986.2,8771.3
"May 01, 2020",8821.6,8628.6,9040.3,8621
"Apr 30, 2020",8629,8770.6,9437.5,8425.5
"Apr 29, 2020",8770.9,7746.7,8918.5,7729.7
"Apr 28, 2020",7746.9,7766,7770.1,7655.3
"Apr 27, 2020",7766,7679.4,7768.5,7637.7
"Apr 26, 2020",7678.9,7540.4,7679.4,7520.5
"Apr 25, 2020",7540.4,7503.9,7684.6,7451
"Apr 24, 2020",7503.8,7491.3,7583.5,7423.5
"Apr 23, 2020",7488.5,7112.8,7655.4,7036.5
"Apr 22, 2020",7112.9,6842.5,7137.4,6821.8
"Apr 21, 2020",6842.5,6833.4,6919.3,6774.3
"Apr 20, 2020",6833.5,7122.9,7207.5,6771.2
"Apr 19, 2020",7122.9,7230.9,7238,7079.1
"Apr 18, 2020",7230.8,7035.9,7259.4,7031.5
"Apr 17, 2020",7035.8,7085.5,7142.8,7005.8
"Apr 16, 2020",7085.6,6629.1,7159.7,6520.5
"Apr 15, 2020",6629.1,6851.3,6929.5,6615.9
"Apr 14, 2020",6850.9,6841.8,6970.8,6768.6
"Apr 13, 2020",6841.3,6918.1,6920.3,6618.5
"Apr 12, 2020",6917.6,6867.9,7158.8,6785.1
"Apr 11, 2020",6867.8,6862.7,6931.4,6765.1
"Apr 10, 2020",6863.1,7289,7294.4,6756.1
"Apr 09, 2020",7289,7361.1,7361.1,7140.3
"Apr 08, 2020",7361.2,7185.6,7396.1,7153.1
"Apr 07, 2020",7185.2,7332.3,7440.3,7101.7
"Apr 06, 2020",7332.3,6772.8,7335,6770.1
"Apr 05, 2020",6772.7,6857.5,6889.4,6686
"Apr 04, 2020",6857.4,6735.9,6958.6,6679.1
"Apr 03, 2020",6735.9,6799.9,7026.3,6623.6
"Apr 02, 2020",6800.5,6638.8,7182.7,6567.9
"Apr 01, 2020",6638.5,6412.4,6661.3,6157.4
"Mar 31, 2020",6412.5,6391.1,6513.1,6346.3
"Mar 30, 2020",6391,5890.4,6576.5,5872.5
"Mar 29, 2020",5890.4,6233.2,6258.8,5889.3
"Mar 28, 2020",6233.7,6373.4,6374.3,6046.5
"Mar 27, 2020",6373.4,6725.5,6813.7,6322.3
"Mar 26, 2020",6725.1,6677.9,6772.9,6541.7
"Mar 25, 2020",6678.9,6744.8,6930.2,6474.6
"Mar 24, 2020",6744.6,6468.8,6814.2,6380.8
"Mar 23, 2020",6468.9,5822,6564.7,5710.8
"Mar 22, 2020",5822.1,6186.9,6394.4,5771.2
"Mar 21, 2020",6186.2,6205.6,6438.3,5887
"Mar 20, 2020",6205.3,6171.6,6858.1,5748.2
"Mar 19, 2020",6172,5359.2,6379.5,5256
"Mar 18, 2020",5361.4,5260.7,5373.1,5020.9
"Mar 17, 2020",5261.1,5030.2,5432.8,4946.5
"Mar 16, 2020",5030,5366.4,5369.3,4477.7
"Mar 15, 2020",5366.3,5182.9,5863.3,5120.6
"Mar 14, 2020",5182.7,5589.4,5634.9,5072.2
"Mar 13, 2020",5584.3,4815.2,5934.3,3869.5
"Mar 12, 2020",4826,7935.2,7963.1,4546.6
"Mar 11, 2020",7935.1,7892.1,7976.5,7606
"Mar 10, 2020",7891.2,7933,8145.5,7740.2
"Mar 09, 2020",7933,8035.8,8158.8,7648.7
"Mar 08, 2020",8034.1,8887.8,8888,8015.3
"Mar 07, 2020",8887.8,9134.2,9180.8,8848.7
"Mar 06, 2020",9134.8,9060.6,9165.2,9004.9
"Mar 05, 2020",9060.3,8757.9,9147.3,8751.5
"Mar 04, 2020",8757.9,8761.3,8840.3,8679.7
"Mar 03, 2020",8761.4,8906.1,8911.7,8669.3
"Mar 02, 2020",8904.8,8537.5,8961.8,8503.1
"Mar 01, 2020",8540,8543.8,8737.2,8437.2
